Lmod has detected the following error: The following module(s) could not be
loaded: "openmpi/4.0.3"

Please check the spelling or version number. Also try "module spider ..."

It is also possible that the module is not available for this node type.
See https://docs.icer.msu.edu/available_software/overview/ for details. 


Compiling reverseGOL-mpi.c...
Running MPI program with 4 tasks...
Worker 0: Generation 81 with best=0 fitness=0
Worker 3: Generation 81 with best=0 fitness=0
Worker 2: Generation 81 with best=0 fitness=0
Worker 1: Generation 82 with best=0 fitness=0
Worker 0: Generation 82 with best=0 fitness=0
Worker 3: Generation 82 with best=0 fitness=0
Worker 2: Generation 82 with best=0 fitness=0
Worker 1: Generation 83 with best=0 fitness=0
Worker 0: Generation 83 with best=0 fitness=0
Worker 3: Generation 83 with best=0 fitness=0
Worker 2: Generation 83 with best=0 fitness=0
Worker 1: Generation 84 with best=0 fitness=0
Worker 0: Generation 84 with best=0 fitness=0
Worker 3: Generation 84 with best=0 fitness=0
Worker 2: Generation 84 with best=0 fitness=0
Worker 1: Generation 85 with best=0 fitness=0
Worker 0: Generation 85 with best=0 fitness=0
Worker 3: Generation 85 with best=0 fitness=0
Worker 2: Generation 85 with best=0 fitness=0
Worker 1: Generation 86 with best=0 fitness=0
Worker 0: Generation 86 with best=0 fitness=0
Worker 3: Generation 86 with best=0 fitness=0
Worker 2: Generation 86 with best=0 fitness=0
Worker 1: Generation 87 with best=0 fitness=0
Worker 0: Generation 87 with best=0 fitness=0
Worker 3: Generation 87 with best=0 fitness=0
Worker 2: Generation 87 with best=0 fitness=0
Worker 1: Generation 88 with best=0 fitness=0
Worker 0: Generation 88 with best=0 fitness=0
Worker 3: Generation 88 with best=0 fitness=0
Worker 2: Generation 88 with best=0 fitness=0
Worker 1: Generation 89 with best=0 fitness=0
Worker 0: Generation 89 with best=0 fitness=0
Worker 2: Generation 89 with best=0 fitness=0
Worker 3: Generation 89 with best=0 fitness=0
Worker 1: Generation 90 with best=0 fitness=0
Worker 0: Generation 90 with best=0 fitness=0
Worker 2: Generation 90 with best=0 fitness=0
Worker 3: Generation 90 with best=0 fitness=0
Worker 1: Generation 91 with best=0 fitness=0
Worker 0: Generation 91 with best=0 fitness=0
Worker 3: Generation 91 with best=0 fitness=0
Worker 2: Generation 91 with best=0 fitness=0
Worker 1: Generation 92 with best=0 fitness=0
Worker 0: Generation 92 with best=0 fitness=0
Worker 3: Generation 92 with best=0 fitness=0
Worker 2: Generation 92 with best=0 fitness=0
Worker 1: Generation 93 with best=0 fitness=0
Worker 0: Generation 93 with best=0 fitness=0
Worker 3: Generation 93 with best=0 fitness=0
Worker 2: Generation 93 with best=0 fitness=0
Worker 1: Generation 94 with best=0 fitness=0
Worker 0: Generation 94 with best=0 fitness=0
Worker 3: Generation 94 with best=0 fitness=0
Worker 2: Generation 94 with best=0 fitness=0
Worker 1: Generation 95 with best=0 fitness=0
Worker 0: Generation 95 with best=0 fitness=0
Worker 2: Generation 95 with best=0 fitness=0
Worker 3: Generation 95 with best=0 fitness=0
Worker 1: Generation 96 with best=0 fitness=0
Worker 0: Generation 96 with best=0 fitness=0
Worker 3: Generation 96 with best=0 fitness=0
Worker 2: Generation 96 with best=0 fitness=0
Worker 1: Generation 97 with best=0 fitness=0
Worker 0: Generation 97 with best=0 fitness=0
Worker 3: Generation 97 with best=0 fitness=0
Worker 2: Generation 97 with best=0 fitness=0
Worker 1: Generation 98 with best=0 fitness=0
Worker 0: Generation 98 with best=0 fitness=0
Worker 3: Generation 98 with best=0 fitness=0
Worker 2: Generation 98 with best=0 fitness=0
Worker 1: Generation 99 with best=0 fitness=0
Worker 0: Generation 99 with best=0 fitness=0
Worker 3: Generation 99 with best=0 fitness=0
Worker 2: Generation 99 with best=0 fitness=0
Worker 1: Generation 100 with best=0 fitness=0
Worker 0: Generation 100 with best=0 fitness=0
Worker 3: Generation 100 with best=0 fitness=0
Worker 2: Generation 100 with best=0 fitness=0
Worker 1: Generation 101 with best=0 fitness=0
Worker 0: Generation 101 with best=0 fitness=0
Worker 3: Generation 101 with best=0 fitness=0
Worker 2: Generation 101 with best=0 fitness=0
Worker 1: Generation 102 with best=0 fitness=0
Worker 0: Generation 102 with best=0 fitness=0
Worker 3: Generation 102 with best=0 fitness=0
Worker 2: Generation 102 with best=0 fitness=0
Worker 1: Generation 103 with best=0 fitness=0
Worker 0: Generation 103 with best=0 fitness=0
